tol,err,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,b1_0,b1_1,b1_2,b1_3,b1_4,b1_5,b1_6,b1_7,b1_8,b2_0,b2_1,b2_2,b2_3,b2_4,b2_5,b2_6,b2_7,b2_8,sigma_0,sigma_1,sigma_2,sigma_3,sigma_4,sigma_5,sigma_6,sigma_7,sigma_8,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,bc1_0,bc1_1,bc1_2,bc2_0,bc2_1,bc2_2,bc3_0,bc3_1,bc3_2,bc4_0,bc4_1,bc4_2
0.15,0.0205218,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.45874748,-0.09874873,-0.26989484,-0.22666244,-0.18494256,-0.54228365,-0.42002776,-0.0026514467,0.34598586,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.2,0.0352157,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.45874748,-0.09874873,-0.26989484,-0.22666244,-0.18494256,-0.54228365,-0.42002776,-0.0026514467,0.34598586,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.25,0.0537917,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.45874748,-0.09874873,-0.26989484,-0.22666244,-0.18494256,-0.54228365,-0.42002776,-0.0026514467,0.34598586,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.3,0.0796687,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.45874748,-0.09874873,-0.26989484,-0.22666244,-0.18494256,-0.54228365,-0.42002776,-0.0026514467,0.34598586,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.5,0.215009,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.45874748,-0.09874873,-0.26989484,-0.22666244,-0.18494256,-0.54228365,-0.42002776,-0.0026514467,0.34598586,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.15,0.0205586,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.4562182,-0.09514115,-0.2683122,-0.22526267,-0.18948126,-0.5427772,-0.41834125,0.0047339443,0.33680832,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.2,0.0352711,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.4562182,-0.09514115,-0.2683122,-0.22526267,-0.18948126,-0.5427772,-0.41834125,0.0047339443,0.33680832,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.25,0.0538014,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.4562182,-0.09514115,-0.2683122,-0.22526267,-0.18948126,-0.5427772,-0.41834125,0.0047339443,0.33680832,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.3,0.0796318,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.4562182,-0.09514115,-0.2683122,-0.22526267,-0.18948126,-0.5427772,-0.41834125,0.0047339443,0.33680832,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.5,0.214429,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.4562182,-0.09514115,-0.2683122,-0.22526267,-0.18948126,-0.5427772,-0.41834125,0.0047339443,0.33680832,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.15,0.020532,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.52573913,-0.067274235,-0.08532694,-0.15651877,-0.36126548,-0.6840855,-0.19531004,0.26819196,-0.11203807,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,-0.63648677,0.39853802,-0.16305764,0.17086762,0.66170615,-0.8606664,0.86592776,0.99308276,-0.99962777,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.2,0.0352468,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.52573913,-0.067274235,-0.08532694,-0.15651877,-0.36126548,-0.6840855,-0.19531004,0.26819196,-0.11203807,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,-0.63648677,0.39853802,-0.16305764,0.17086762,0.66170615,-0.8606664,0.86592776,0.99308276,-0.99962777,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.25,0.0536279,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.52573913,-0.067274235,-0.08532694,-0.15651877,-0.36126548,-0.6840855,-0.19531004,0.26819196,-0.11203807,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,-0.63648677,0.39853802,-0.16305764,0.17086762,0.66170615,-0.8606664,0.86592776,0.99308276,-0.99962777,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.3,0.0801762,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.52573913,-0.067274235,-0.08532694,-0.15651877,-0.36126548,-0.6840855,-0.19531004,0.26819196,-0.11203807,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,-0.63648677,0.39853802,-0.16305764,0.17086762,0.66170615,-0.8606664,0.86592776,0.99308276,-0.99962777,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.5,0.215154,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.52573913,-0.067274235,-0.08532694,-0.15651877,-0.36126548,-0.6840855,-0.19531004,0.26819196,-0.11203807,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,-0.63648677,0.39853802,-0.16305764,0.17086762,0.66170615,-0.8606664,0.86592776,0.99308276,-0.99962777,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.15,0.020533,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.60008085,-0.0795885,-0.38015428,-0.35936633,-0.27666405,-0.559661,-0.5397004,0.06874051,0.30809385,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.2,0.0352007,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.60008085,-0.0795885,-0.38015428,-0.35936633,-0.27666405,-0.559661,-0.5397004,0.06874051,0.30809385,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.25,0.0539484,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.60008085,-0.0795885,-0.38015428,-0.35936633,-0.27666405,-0.559661,-0.5397004,0.06874051,0.30809385,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.3,0.0802089,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.60008085,-0.0795885,-0.38015428,-0.35936633,-0.27666405,-0.559661,-0.5397004,0.06874051,0.30809385,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.5,0.215845,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.60008085,-0.0795885,-0.38015428,-0.35936633,-0.27666405,-0.559661,-0.5397004,0.06874051,0.30809385,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.15,0.0205332,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.5115021,-0.08291175,-0.32457608,-0.22431168,-0.15703328,-0.51352674,-0.44282597,-0.027935328,0.2923866,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.2,0.035266,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.5115021,-0.08291175,-0.32457608,-0.22431168,-0.15703328,-0.51352674,-0.44282597,-0.027935328,0.2923866,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.25,0.0540857,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.5115021,-0.08291175,-0.32457608,-0.22431168,-0.15703328,-0.51352674,-0.44282597,-0.027935328,0.2923866,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.3,0.0790559,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.5115021,-0.08291175,-0.32457608,-0.22431168,-0.15703328,-0.51352674,-0.44282597,-0.027935328,0.2923866,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.5,0.217339,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.5083248,-0.10332047,-0.23639053,-0.27668452,-0.14917316,-0.6251193,-0.43329516,-0.1099979,0.41513953,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.5115021,-0.08291175,-0.32457608,-0.22431168,-0.15703328,-0.51352674,-0.44282597,-0.027935328,0.2923866,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.15,0.0206022,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.50779825,-0.10480617,-0.24151154,-0.28050599,-0.14202842,-0.622774,-0.44042575,-0.121844195,0.4308507,0.5012532,-0.08731782,-0.26436496,-0.2925528,-0.1364999,-0.61516106,-0.45419222,-0.14714013,0.44342914,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.45804527,-0.10481071,-0.26858827,-0.26388508,-0.21949208,-0.55814147,-0.43377122,0.03466263,0.3668142,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.2,0.0350371,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.50779825,-0.10480617,-0.24151154,-0.28050599,-0.14202842,-0.622774,-0.44042575,-0.121844195,0.4308507,0.5012532,-0.08731782,-0.26436496,-0.2925528,-0.1364999,-0.61516106,-0.45419222,-0.14714013,0.44342914,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.45804527,-0.10481071,-0.26858827,-0.26388508,-0.21949208,-0.55814147,-0.43377122,0.03466263,0.3668142,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.25,0.0542555,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.50779825,-0.10480617,-0.24151154,-0.28050599,-0.14202842,-0.622774,-0.44042575,-0.121844195,0.4308507,0.5012532,-0.08731782,-0.26436496,-0.2925528,-0.1364999,-0.61516106,-0.45419222,-0.14714013,0.44342914,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.45804527,-0.10481071,-0.26858827,-0.26388508,-0.21949208,-0.55814147,-0.43377122,0.03466263,0.3668142,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.3,0.0793486,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.50779825,-0.10480617,-0.24151154,-0.28050599,-0.14202842,-0.622774,-0.44042575,-0.121844195,0.4308507,0.5012532,-0.08731782,-0.26436496,-0.2925528,-0.1364999,-0.61516106,-0.45419222,-0.14714013,0.44342914,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.45804527,-0.10481071,-0.26858827,-0.26388508,-0.21949208,-0.55814147,-0.43377122,0.03466263,0.3668142,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.5,0.216326,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.50779825,-0.10480617,-0.24151154,-0.28050599,-0.14202842,-0.622774,-0.44042575,-0.121844195,0.4308507,0.5012532,-0.08731782,-0.26436496,-0.2925528,-0.1364999,-0.61516106,-0.45419222,-0.14714013,0.44342914,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.45804527,-0.10481071,-0.26858827,-0.26388508,-0.21949208,-0.55814147,-0.43377122,0.03466263,0.3668142,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.15,0.0205207,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5073142,-0.10536224,-0.24489024,-0.28304064,-0.13724332,-0.6211857,-0.4448344,-0.13019781,0.44087687,0.5080569,-0.10401829,-0.23876967,-0.27845463,-0.14587162,-0.6240362,-0.4366069,-0.11545964,0.42242867,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.58703625,-0.090946846,-0.3855264,-0.29937345,-0.21454933,-0.5221158,-0.5131035,0.025480505,0.30572063,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.2,0.035138,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5073142,-0.10536224,-0.24489024,-0.28304064,-0.13724332,-0.6211857,-0.4448344,-0.13019781,0.44087687,0.5080569,-0.10401829,-0.23876967,-0.27845463,-0.14587162,-0.6240362,-0.4366069,-0.11545964,0.42242867,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.58703625,-0.090946846,-0.3855264,-0.29937345,-0.21454933,-0.5221158,-0.5131035,0.025480505,0.30572063,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.25,0.0540548,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5073142,-0.10536224,-0.24489024,-0.28304064,-0.13724332,-0.6211857,-0.4448344,-0.13019781,0.44087687,0.5080569,-0.10401829,-0.23876967,-0.27845463,-0.14587162,-0.6240362,-0.4366069,-0.11545964,0.42242867,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.58703625,-0.090946846,-0.3855264,-0.29937345,-0.21454933,-0.5221158,-0.5131035,0.025480505,0.30572063,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.3,0.0798581,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5073142,-0.10536224,-0.24489024,-0.28304064,-0.13724332,-0.6211857,-0.4448344,-0.13019781,0.44087687,0.5080569,-0.10401829,-0.23876967,-0.27845463,-0.14587162,-0.6240362,-0.4366069,-0.11545964,0.42242867,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.58703625,-0.090946846,-0.3855264,-0.29937345,-0.21454933,-0.5221158,-0.5131035,0.025480505,0.30572063,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
0.5,0.215957,0.5056914,-0.10350189,-0.2511181,-0.28823784,-0.13069677,-0.6173436,-0.4531633,-0.14610787,0.45642585,0.5073142,-0.10536224,-0.24489024,-0.28304064,-0.13724332,-0.6211857,-0.4448344,-0.13019781,0.44087687,0.5080569,-0.10401829,-0.23876967,-0.27845463,-0.14587162,-0.6240362,-0.4366069,-0.11545964,0.42242867,0.50546455,-0.10276171,-0.25299945,-0.28908157,-0.12965938,-0.61644244,-0.45457068,-0.14903851,0.45859784,0.58703625,-0.090946846,-0.3855264,-0.29937345,-0.21454933,-0.5221158,-0.5131035,0.025480505,0.30572063,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346,0.39236596,0.14768331,0.46752346
